fonKodu,firma,durum,fonKategori,sonFiyat,payAdet,portBuyukluk,yatirimciSayi,fonUnvan
NHP,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,5.716039,2090105,11947121.07,150,NEO PORTFÖY BİRİNCİ FON SEPETİ FONU
NHY,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,5.934447,24561604,145759527.15,1941,NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
NJF,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,12.675382,71980035,912374463.05,1749,NUROL PORTFÖY ALTIN KATILIM FONU
NJR,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,5.984973,342519495,2049969816.6,2499,NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU
NJY,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,7.706885,53093921,409188735.55,1378,NUROL PORTFÖY BİRİNCİ KATILIM FONU
NKA,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,50.283548,2607836,131131247.43,17,NEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON
NKC,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.232945,270863768,333960096.56,1053,NEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
NKM,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.993451,42735846,42455979.74,430,NEO PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
NKP,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,1.120218,134643192,150829734.54,3101,NEO PORTFÖY KAR PAYI ÖDEYEN DEĞİŞKEN FON
NKT,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.587938,68153687,108223856.31,787,NUROL PORTFÖY BİRİNCİ KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
NLE,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.597188,226201894,361287021.7,9373,NUROL PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
NLK,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.935686,3028961388,5863118202.41,987,NUROL PORTFÖY KISA VADELİ SERBEST FON
NME,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,58.391876,933631,54516465.89,49,NUROL PORTFÖY MERCAN KATILIM SERBEST (DÖVİZ) FON
NMU,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.284127,736506187,945767442.3,344,NUROL PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
NNF,HEDEF PORTFÖY YÖNETİMİ A.Ş,AKTİF,Hisse Senedi Fonu,22.047224,81144763,1789016729.86,17425,HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
NOI,TACİRLER PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.498917,900597725,1349921138.89,14,TACİRLER PORTFÖY NOVA İSTATİSTİKSEL ARBİTRAJ SERBEST FON
NPH,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.557196,85578533,133262561.56,694,NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
NRC,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,11.358883,19985469,227012603.34,3474,NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON
NRG,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,5.718873,1036635409,5928386027.12,3246,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU
NSA,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,2.618434,318459289,833864599.69,334,NEO PORTFÖY PARA PİYASASI KATILIM SERBEST FON
NSD,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,66.41068,237818445,15793684607.65,183,NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON
NSH,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,2.247631,1209456619,2718412303.57,1347,NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
NSK,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,6.938111,17984484,124778342.58,83,NEO PORTFÖY BİRİNCİ SERBEST FON
NSP,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,1.892786,622205795,1177702430.74,2658,NUROL PORTFÖY PARA PİYASASI KATILIM FONU
NST,İŞ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.204977,45119427,54367853.75,3236,İŞ PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
NSY,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.460755,990555097,1446958767.43,60,NEO PORTFÖY YEDİNCİ SERBEST FON
NTB,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,5.932657,550964070,3268680844.62,1,AZİMUT PORTFÖY AVŞAR HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
NTI,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,1.579508,158764578,250769981.23,1436,NEO PORTFÖY TEKNOLOJİ VE İNOVASYON DEĞİŞKEN FON
NUB,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,60.747509,35062560,2129963180.52,901,NUROL PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON
NUH,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.320606,47947905,63320274.29,860,NEO PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
NVB,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,4.948252,1196199319,5919095903.09,4617,NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON
NVK,INVEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,47.427475,3417394,162078367.6,19,INVEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON
NVT,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,4.768615,2082558298,9930918507.6,103,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON
NVZ,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,58.836679,8865556,521619870.24,329,NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON
NZH,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,3.535424,156719922,554071312.39,299,NEO PORTFÖY İKİNCİ DEĞİŞKEN FON
NZT,NEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,6.22308,549593437,3420163854.62,378,NEO PORTFÖY PARA PİYASASI SERBEST FON
NZU,NUROL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,51.838554,875587,45389164.25,33,NUROL PORTFÖY ZÜMRÜT KATILIM SERBEST (DÖVİZ) FON
OBI,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,3.26136,91875145,299637948.46,491,OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU
OBP,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,0.212105,179726007,38120801.08,830,OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON
ODD,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,11.268451,42064974,474007079.37,28,OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON
ODG,ONE PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,1.170849,56693455,66379491.64,37,ONE PORTFÖY İKİNCİ DEĞİŞKEN FON
ODP,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,7.180926,41318883,296707831.14,139,OSMANLI PORTFÖY BİRİNCİ SERBEST FON
ODS,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,70.197652,1682464,118105022.03,105,OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON
ODV,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,19.317186,80677582,1558463848.12,3775,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU
OFI,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,4.105127,38441034,157805330.54,575,OYAK PORTFÖY İKİNCİ FON SEPETİ FONU
OFS,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,8.39612,22439869,188407833.96,429,OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU
OGD,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,11.635994,66837737,777723529,3100,OYAK PORTFÖY ALTIN KATILIM FONU
OHB,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,24.769388,58155333,1440472021.03,1043,OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
OHK,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,2.981152,14401744,42933784.37,1338,OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
OIL,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,3.884798,11302885,43909427.25,663,OSMANLI PORTFÖY ALTIN FON SEPETİ FONU
OIR,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,5.154976,3824494,19715174.9,227,OSMANLI PORTFÖY DENGELİ FON SEPETİ FONU
OJB,QNB PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,54.166379,491856143,26642066365.27,6687,QNB PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON
OJK,QNB PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Altın Fonu,13.404895,3444276461,46170163332.66,27524,QNB PORTFÖY ALTIN FONU
OJT,QNB PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,12.789836,355716935,4549561171.14,11054,QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU
OKD,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,0.6322,137590789,86984944.2,977,OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON
OKP,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,6.627158,13688821,90717985.49,434,OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU
OKT,OYAK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,0.167662,667611666,111933224.09,850,OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU
OLA,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,54.115772,378073,20459711.7,31,OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON
OLD,QNB PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,3.089613,43198758,133467429.46,5417,QNB PORTFÖY TEMİZ ENERJİ VE SU FON SEPETİ FONU
OLE,OSMANLI PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,5.205738,72511619,377476517.86,489,OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU
OMG,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.86602,710719235,1326216484.53,699,AZİMUT PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
