fonKodu,firma,durum,fonKategori,sonFiyat,payAdet,portBuyukluk,yatirimciSayi,fonUnvan
AAL,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,3.583857,519514163,1861864275.22,4501,ATA PORTFÖY PARA PİYASASI (TL) FONU
AAS,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,12.868202,1330088,17115840.57,148,ATA PORTFÖY FON SEPETİ SERBEST FONU
AAV,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,60.112175,2186403,131429440.81,1928,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
ACC,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,41.408774,2003416,82959000.85,1267,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)
ACD,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,5.900514,57504796,339307869.36,1487,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON
ACU,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,58.00148,25459788,1476705394.71,163,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON
ADE,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,0.896628,754915111,676878391,25491,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON
ADP,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.180838,3149844729,3719457086.5,21460,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AED,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,111.173381,575014,63926260.75,1383,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON
AES,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Yabancı Fon Sepeti Fonu,0.209826,7565346547,1587408282.17,37107,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU
AEV,ALLBATROSS PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Hisse Senedi Fonu,1.932188,4286641,8282598.15,402,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AFA,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.292861,4197461644,5426736189,47069,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU
AFO,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Altın Fonu,1.32903,14310631974,19019254960.05,81236,AK PORTFÖY ALTIN FONU
AFS,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.352924,2583236367,911687178.93,29204,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU
AFT,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.981819,18955897045,18611267813.99,136587,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU
AFV,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.59841,2024865939,1211700393.05,14739,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU
AGC,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,9.545857,10824168,103325962.27,2469,AK PORTFÖY İKİNCİ DEĞİŞKEN FON
AHV,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,21.775724,6225176,135557712.09,209,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU
AIS,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,0.110449,103423078604,11423008195.98,24112,AK PORTFÖY PARA PİYASASI KATILIM FONU
AJK,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,65.566598,1944943,127523296.36,132,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON
AK2,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,0.555678,504419212,280294595.94,9248,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU
AK3,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,50.108377,154960001,7764794139.51,20736,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AKE,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,0.528179,1958859159,1034628852.13,13352,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU
AKU,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.930128,2595639471,2414276654.76,18437,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
ALC,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.352984,4360956189,1539347407.36,24839,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AN1,STRATEJİ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,113.102261,12004058,1357686132.44,2855,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON
ANZ,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,21.853746,11834505,258628267.5,154,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON
AOJ,ALLBATROSS PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Serbest Fon,1.467315,12628573,18530097.52,199,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
AOY,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.349964,2755645244,964376262.58,35002,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU
APJ,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,6.533577,11968468,78196901.93,2870,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU
APT,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,0.164868,2646697221,436356113.96,13205,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU
ARE,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.253618,256114280,64955107.9,2046,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU
