fonKodu,firma,durum,fonKategori,sonFiyat,payAdet,portBuyukluk,yatirimciSayi,fonUnvan
AEV,ALLBATROSS PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Hisse Senedi Fonu,1.96904,4280645,8428762.14,398,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AFA,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.298446,4194269928,5446034897.58,47057,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU
AFO,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Altın Fonu,1.327418,14303818624,18987149040.75,81198,AK PORTFÖY ALTIN FONU
AFS,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.352902,2570423707,907106963.07,29085,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU
AFT,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.993849,18904307718,18788024881.52,136203,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU
AFV,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.598732,2010298487,1203630223.14,14657,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU
AGC,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,9.545948,11030333,105294988.32,2465,AK PORTFÖY İKİNCİ DEĞİŞKEN FON
AHV,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,21.967651,6192376,136031952.43,207,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU
AIS,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,0.11056,97193342903,10745719375.96,24066,AK PORTFÖY PARA PİYASASI KATILIM FONU
AJK,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,65.554478,1945997,127568816.8,133,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON
AK2,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,0.553714,497590531,275522884.96,9237,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU
AK3,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,52.268329,154673694,8084535453.11,20651,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AKE,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,0.528704,1959383539,1035933219.05,13343,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU
AKU,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.967007,2582175749,2496981938.02,18417,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
ALC,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.36545,4355637968,1591768865.18,24789,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AN1,STRATEJİ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,115.065987,11859404,1364614053.7,2849,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON
ANZ,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,21.868104,11836330,258838100.84,154,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON
AOJ,ALLBATROSS PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Serbest Fon,1.515205,12627150,19132722.53,195,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
AOY,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.352046,2747721941,967323977.59,34866,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU
APJ,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,6.702231,11976979,80272479.76,2863,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU
APT,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,0.16458,2611316474,429769324.59,13195,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU
ARE,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.252237,254447237,64181111.7,2022,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU
ARL,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,16.18258,244888170,3962922294.23,7294,AK PORTFÖY BİRİNCİ FON SEPETİ FONU
ARM,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Fon Sepeti Fonu,18.390098,160975407,2960353581.66,4961,AK PORTFÖY İKİNCİ FON SEPETİ FONU
AS1,ALLBATROSS PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Serbest Fon,46.005865,138482,6370984.23,35,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON
ASJ,AKTİF PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,3.838665,15249640,58538260.37,741,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
ATJ,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,22.049279,45294433,998709568.35,9,AZİMUT PORTFÖY İKİNCİ DEĞİŞKEN FON
AUV,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,49.734036,7700586,382981222.8,509,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON
AYA,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,18.525326,55874771,1035098330.67,9295,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AYR,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,0.143918,11561846076,1663954474.89,13101,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU
BAI,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,1.087294,56916528,61884980.85,124,BV PORTFÖY ALTIN KATILIM FONU
BBP,ALLBATROSS PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Borçlanma Araçları Fonu,2.313496,7976707,18454078.79,593,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU
BCK,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Değişken Fon,2.042195,55571202,113487218.42,2415,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON
BDA,YAPI KREDİ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,57.100518,101944235,5821068613.27,806,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON
BDY,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.629495,59920907,97640814.97,2348,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
BFE,ALLBATROSS PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Fon Sepeti Fonu,1.816147,5602268,10174539.94,54,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU
BFT,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.162215,169251714,196706879.18,617,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
BGP,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,6.724047,7524934280,50598014467.82,28757,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU
BGR,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.919846,33224158,30561094.82,252,AK PORTFÖY BIST GYO ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
BHE,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.78203,22117133,39413401.77,103,AK PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
BHI,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,2.412599,970244635,2340811611.38,442,BV PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
BHL,İŞ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.242161,54901471,68196483.72,742,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
BID,QNB PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,3.046515,70364148,214365466.46,2000,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
BIG,YAPI KREDİ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.427705,333091009,475555574.53,3183,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
BIO,İŞ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,2.327531,273992653,637726363.06,9707,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
BIP,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.687767,3267619354,5514979908.24,213,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON
BIS,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.822695,443689574,808710550.51,58,BV PORTFÖY BİRİNCİ SERBEST FON
BIY,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.202653,60482099,72738997.94,273,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
BJD,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,54.177865,13400136,725990760.69,102,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON
BKY,YAPI KREDİ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,50.72715,172693874,8760268066.96,1098,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON
BLD,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,1.716044,287101927,492679652.22,687,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON
BNC,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,2.236429,287824826,643699915.12,261,AK PORTFÖY BEŞİNCİ SERBEST FON
BNH,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.209308,47871670,57891584.71,166,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
BOL,AKTİF PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,1.738938,71073243,123591985.62,327,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU
BRC,RE-PIE PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.368651,79366945,108625674.43,33,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
BRF,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Fon Sepeti Fonu,1.609239,52307380,84175051.11,1136,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU
BRR,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Borçlanma Araçları Fonu,1.711877,1599289479,2737787437.74,944,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU
BS1,AHLATCI PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Serbest Fon,1.513674,290478075,439688966.18,763,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON
BSD,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.208587,278088574,336094263.45,84,BV PORTFÖY SERBEST (DÖVİZ) FON
BSM,GLOBAL MD PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.829092,1293037901,2365084990.95,2820,GLOBAL MD PORTFÖY BERRAK SERBEST FON
BTE,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,5.146529,42090387,216619394.6,985,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON
BTK,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,1.705245,185211196,315830540.98,2123,BV PORTFÖY TEKNOLOJİ KATILIM FONU
BUY,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.569256,184872434,290112121.3,16263,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
BV1,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.59589,53685615,85676322.79,452,BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON)
BVD,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,1.387503,153938408,213589979.34,284,BV PORTFÖY BİRİNCİ DEĞİŞKEN FON
BVF,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,1.457732,1081574905,1576646690.51,573,BV PORTFÖY PARA PİYASASI (TL) FON
BVM,ALLBATROSS PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Serbest Fon,1.283676,10353703,13290800.2,121,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
BVV,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,3.521345,45085172,158760465.52,1087,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON
BVZ,BV PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,4.621464,721385609,3333857452.94,595,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON
CFO,ROTA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,2.589751,682350626,1767118479.11,410,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU
CIN,AKTİF PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.752256,10421043,18260335.36,516,AKTİF PORTFÖY BİRİNCİ SERBEST FON
CKF,ALBARAKA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,2.123786,326565970,693556108.88,2926,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU
CKL,YAPI KREDİ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,1.621804,498602096,808634660.12,1341,YAPI KREDİ PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON
CKS,İŞ PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,61.764081,94470250,5834868204.16,2385,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON
CPT,ROTA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,3.715185,233109937,866046465.08,13642,ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON
CPU,AKTİF PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,3.846111,331298122,1274209349.56,17735,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU
CVK,INVEO PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Katılım Fonu,5.252538,33340076,175120009.46,1857,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU
DAH,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Hisse Senedi Fonu,3.47896,160766700,559300989.14,2529,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
DAP,DESTEK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,1.048885,470820100,493836291.88,781,DESTEK PORTFÖY PARA PİYASASI FONU
DAS,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,56.164773,2018948381,113393777293.13,25168,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON
DBA,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Altın Fonu,0.74649,12990922589,9697591949.21,25016,DENİZ PORTFÖY ALTIN FONU
DBB,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Borçlanma Araçları Fonu,0.115553,3034149339,350603774.1,2063,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU
DBH,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Borçlanma Araçları Fonu,0.387437,2492703200,965766575.58,8571,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU
DBK,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Borçlanma Araçları Fonu,0.124365,9334192206,1160846143.74,85203,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU
DBP,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Değişken Fon,0.50365,322891300,162624057.56,1049,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON
DBZ,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Borçlanma Araçları Fonu,0.144593,4663428900,674297429.52,2806,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU
DCB,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,4.906812,27252847812,133724604544.67,21873,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON
DDA,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,12.83069,24480798,314105535.92,1024,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)
DDF,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,12.531927,6828541,85574776.32,527,DENİZ PORTFÖY DİNAMO HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
DEF,ALLBATROSS PORTFÖY YÖNETİMİ ANONİM ŞİRKETİ,AKTİF,Serbest Fon,2.692709,14712047,39615264.52,87,ALLBATROSS PORTFÖY DEFNE SERBEST FON
DEH,DESTEK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,0.924284,19929129,18420179.62,211,DESTEK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
DFC,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Değişken Fon,3.203424,34761318,111355224.32,1504,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON
DFD,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,2.761211,52728530,145594591.09,446,DENİZ PORTFÖY EMTİA SERBEST FON
DGH,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,11.110036,211310595,2347668356.3,232,ATA PORTFÖY PARA PİYASASI SERBEST (TL) FON
DHJ,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Hisse Senedi Fonu,6.29197,29199460,183722117.18,2880,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
DHM,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Fon Sepeti Fonu,5.320839,4701656,25016754.31,1097,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU
DHT,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Değişken Fon,1.138453,59634357,67890891.73,744,DENİZ PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON
DHV,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,1.962724,156283556,306741472.05,622,DENİZ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
DID,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Değişken Fon,1.477224,18896134,27913823.71,154,DENİZ PORTFÖY İKİNCİ DEĞİŞKEN FON
DIP,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,1.625858,32767056672,53274589414.23,2020,DENİZ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON
DKC,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,0.612881,17637273,10809550.81,26,DENİZ PORTFÖY İKİNCİ SERBEST FON
DKH,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Hisse Senedi Fonu,3.646304,24348123,88780669.61,1385,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
DKL,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,51.477765,7886921,406001065.15,103,DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON
DKR,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,0.751127,164239703,123364924.6,1227,DENİZ PORTFÖY ONDÖRDÜNCÜ SERBEST FON
DL2,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Para Piyasası Fonu,2.546963,2857540905,7278051403.11,636,DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU
DLD,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Hisse Senedi Fonu,7.654744,8297306,63513749.2,575,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
DLY,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Para Piyasası Fonu,6.243088,9899816771,61805430379.26,308893,DENİZ PORTFÖY PARA PİYASASI (TL) FONU
DLZ,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,0.512717,54309025,27845162.4,44,DENİZ PORTFÖY ALİZE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
DMG,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Fon Sepeti Fonu,6.930884,431935916,2993697551.99,14967,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU
DNH,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,1.093417,14861206,16249501.35,59,DENİZ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
DNK,TACİRLER PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,1.608195,378647895,608939817.07,127,TACİRLER PORTFÖY DENGE KATILIM SERBEST FON
DNM,QNB PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,53.178829,27704310,1473282763.65,1039,QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON
DNP,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,1.477392,992604823,1466466208.78,367,DENİZ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON
DOL,AKTİF PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,53.693822,104763088,5625130581.62,377,AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON
DOV,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,61.019055,1193094018,72801469641.28,17140,DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON
DPB,DENİZ PORTFÖY YÖNETİMİ A.Ş,AKTİF,Serbest Fon,24.66387,370087819,9127797841.91,3024,DENİZ PORTFÖY SERBEST (DÖVİZ) FON
