fonKodu,firma,durum,fonKategori,sonFiyat,payAdet,portBuyukluk,yatirimciSayi,fonUnvan
AAL,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,3.58631,482217807,1729382649.02,4431,ATA PORTFÖY PARA PİYASASI (TL) FONU
AAS,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,12.900187,1331419,17175554.39,147,ATA PORTFÖY FON SEPETİ SERBEST FONU
AAV,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,62.107862,2183733,135626988.47,1929,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
ACC,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,42.855791,1996715,85570800.84,1261,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)
ACD,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,6.075724,57851453,351489479.38,1481,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON
ACU,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,58.024648,25459788,1477295225.98,159,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON
ADE,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,0.904656,752214321,680495132.76,25452,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON
ADP,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,1.28204,3135655215,4020034691.27,21363,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AED,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,114.329789,570698,65247791.99,1375,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON
AES,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Yabancı Fon Sepeti Fonu,0.205683,7606524444,1564532359.83,37399,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU
