fonKodu,firma,durum,fonKategori,sonFiyat,payAdet,portBuyukluk,yatirimciSayi,fonUnvan
AAL,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,3.580478,536309266,1920243701.26,4505,ATA PORTFÖY PARA PİYASASI (TL) FONU
AAS,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,12.827757,1331218,17076541.44,152,ATA PORTFÖY FON SEPETİ SERBEST FONU
AAV,ATA PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,62.256867,2190073,136347083.48,1943,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AC1,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,3.312641,105571572,349720732.04,200,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU
AC4,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Para Piyasası Fonu,4.116252,488439575,2010540345.02,4214,PARDUS PORTFÖY PARA PİYASASI (TL) FON
AC5,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,3.794818,6164900,23394673.37,146,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
AC6,PARDUS PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,56.628814,1316788,74568143.15,83,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON
ACC,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Hisse Senedi Fonu,43.567403,2629484,114559788.59,1276,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN)
ACD,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,6.096505,57503682,350571466.24,1499,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON
ACU,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Serbest Fon,57.971765,25459788,1475948837.48,163,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON
ADE,AK PORTFÖY YÖNETİMİ A.Ş.,AKTİF,Değişken Fon,0.887386,755553114,670467228.35,25528,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON
